47,277,-187
-616,-840,-1843
-3162,-2909,-3429
-4316,-3605,-3504
-4426,-3715,-3580
-4445,-3687,-3513
-4385,-3636,-3493
-4371,-3638,-3491
-4372,-3638,-3502
-4402,-3683,-3562
-4454,-3725,-3571
-4445,-3684,-3525
-4395,-3652,-3504
-4392,-3657,-3511
-4394,-3653,-3503
-4384,-3646,-3502
-4390,-3664,-3523
-4413,-3679,-3530
-4397,-3646,-3480
-4336,-3581,-3425
-4304,-3576,-3447
-4343,-3619,-3482
-4371,-3642,-3503
-4393,-3665,-3523
-4404,-3671,-3532
-4423,-3691,-3547
-4430,-3688,-3531
-4408,-3675,-3525
-4405,-3670,-3522
-4402,-3667,-3519
-4398,-3659,-3510
-4390,-3659,-3517
-4407,-3678,-3538
-4419,-3684,-3530
-4401,-3658,-3506
-4381,-3654,-3515
-4398,-3664,-3521
-4396,-3660,-3513
-4395,-3651,-3500
-4370,-3628,-3477
-4367,-3638,-3500
-4384,-3650,-3499
-4379,-3651,-3511
-4404,-3675,-3537
-4417,-3679,-3529
-4412,-3674,-3525
-4415,-3680,-3533
-4411,-3679,-3523
-4399,-3661,-3511
-4384,-3645,-3497
-4375,-3637,-3490
-4373,-3638,-3491
-4381,-3655,-3518
-4408,-3685,-3536
-4413,-3670,-3523
-4404,-3678,-3557
-4465,-3739,-3596
-4465,-3708,-3538
-4411,-3677,-3551
-4440,-3691,-3528
-4386,-3640,-3479
-4384,-3678,-3561
-4437,-3701,-3541
-4399,-3643,-3497
-4395,-3667,-3533
-4423,-3690,-3534
-4411,-3671,-3519
-4400,-3667,-3524
-4414,-3689,-3541
-4419,-3676,-3508
-4377,-3645,-3501
-4390,-3670,-3524
-4389,-3639,-3476
-4349,-3619,-3487
-4383,-3661,-3517
-4393,-3653,-3498
-4369,-3623,-3470
-4341,-3606,-3465
-4357,-3638,-3508
-4409,-3687,-3549
-4428,-3687,-3521
-4393,-3644,-3485
-4362,-3617,-3450
-4319,-3589,-3448
-4358,-3656,-3551
-3783,-3152,-3716
-5196,-5053,-6859
-8129,-7815,-8931
-10790,-10460,-11332
-10455,-6945,-4551
-2328,907,1621
1973,3724,4593
5712,6798,6528
6698,6670,5408
5612,6099,5182
5507,6005,5084
5256,5746,5016
5404,6043,5358
5729,6212,5426
5682,6150,5339
5691,6235,5533
5891,6331,5428
5615,5995,5088
5372,5906,5143
5434,5962,5157
5435,5929,5177
5495,6000,5175
5438,5775,4898
5025,5356,4591
4561,4707,4476
4753,5069,5669
6527,6319,6508
6875,5999,5685
5974,5218,5264
5888,5348,5756
6548,5883,5901
6527,5657,5475
6065,5363,5232
5851,5179,5041
5641,4967,4845
5470,4874,4822
5555,4993,4980
5710,5095,4945
5600,4944,4783
5450,4885,4789
5485,4913,4806
5461,4878,4790
5485,4954,4887
5589,5014,4886
5494,4891,4779
5499,4945,5027
6147,5958,5788
7166,6936,5905
6330,6249,4615
4720,5227,4268
4415,5246,4555
4656,5451,4817
4976,5700,4992
5063,5702,4973
5125,5806,5115
5302,5947,5183
5328,5937,5103
5212,5816,4984
5091,5734,4941
5055,5707,4942
5066,5742,5041
5214,5892,5202
5450,5919,4686
4122,3568,1995
1506,1808,1153
1791,1187,-440
-1456,-2889,-5471
-5692,-6379,-7726
-7387,-6897,-7530
-6513,-5833,-6222
-5666,-5492,-6336
-5893,-5749,-6444
-5836,-5607,-6297
-5745,-5555,-6259
-5704,-5564,-6334
-5796,-5705,-6536
-6047,-5925,-6760
-6212,-5967,-6656
-6055,-5765,-6482
-5953,-5757,-6479
-5960,-5786,-6481
-5861,-5612,-6140
-5212,-4588,-4436
-2851,-1466,-583
1416,2365,2949
4245,4361,4136
5104,4805,4415
5212,5247,5312
6245,6256,6356
6911,6412,6273
6735,6185,6135
6659,6169,6172
6734,6224,6276
6903,6382,6398
7056,6218,5725
6007,4525,2920
2625,811,-1352
-1650,-2760,-4516
-4383,-4693,-5927
-5530,-5398,-6308
-5861,-5687,-6511
-6033,-5718,-6341
-5653,-5335,-6019
-5527,-5375,-6253
-5784,-5591,-6221
-5518,-5022,-5293
-4278,-3656,-3583
-2277,-1264,-620
1128,2208,2910
4185,4584,4871
5722,5684,5871
6492,6085,6093
6624,6108,6173
6753,6210,6220
6781,6174,6167
6799,6095,5946
6548,5794,5505
6244,5347,4482
4674,3137,1148
831,-641,-2687
-2782,-3391,-5037
-4949,-5236,-6711
-6706,-6614,-7670
-7213,-6618,-7190
-6733,-6164,-6805
-6489,-6127,-6765
-6396,-6040,-6702
-6317,-5992,-6620
-6141,-5764,-6082
-5316,-4801,-4687
-3288,-2563,-2101
-430,355,824
2601,3248,3607
4742,4446,3828
4164,3056,2050
2398,1408,342
869,23,-1237
-815,-1562,-2942
-2563,-2957,-4021
-3358,-3241,-3694
-2677,-2163,-1969
-555,25,224
1379,1040,318
807,-48,-1211
-668,-1336,-2403
-1760,-2130,-3063
-2290,-2461,-3291
-2544,-2676,-3565
-2959,-3153,-3871
-3092,-2906,-3154
-1938,-1821,-2285
-1541,-1956,-2963
-2383,-2742,-3536
-2747,-2864,-3451
-2480,-2544,-3103
-2156,-2299,-3197
-2525,-2876,-3951
-3473,-3723,-4595
-3971,-3994,-4174
-2912,-2446,-2403
-1053,-1424,-2342
-1887,-2516,-3653
-2889,-3051,-3678
-2725,-2649,-3256
-2397,-2598,-3500
-3011,-3314,-4283
-3667,-3840,-4735
-4151,-4226,-4739
-3778,-3345,-3234
-1888,-1853,-2469
-1713,-2248,-3361
-2415,-2142,-2428
-768,881,1184
3119,4669,4919
5737,6943,6640
6927,7226,6601
6280,6488,6109
6248,6382,6477
6912,6995,7035
7945,7766,7465
8404,8185,6492
6108,4829,2731
2585,3753,4332
6096,7435,7572
7963,7832,7201
7349,7284,7031
7732,7696,7899
8944,8460,7874
8513,7824,6846
7543,7328,6643
7322,7275,6584
7079,7030,6404
6821,6909,6483
7058,7280,7017
7684,7734,7260
7709,7638,7044
7553,7565,7002
7498,7407,6829
7284,7274,6707
7320,7264,6629
7088,7065,6383
6926,6999,6426
6933,6979,6386
6925,7034,6555
7155,7237,6710
7285,7326,6801
7508,7603,6805
7136,6784,5616
5500,5333,4686
5239,5399,5319
6114,6123,5815
6580,6547,6102
7031,7167,6608
7310,7315,6471
6922,7192,6567
7091,7253,6554
6836,6873,6239
6510,6460,5915
6397,6381,6290
7105,6927,6381
7117,6861,6113
6821,6678,5640
5825,5754,4990
5889,6339,6084
6862,7348,6192
6748,7091,6164
6224,6494,5138
5011,5156,4124
4400,4955,4015
4298,4900,3893
4092,4822,3999
4246,5062,4210
4249,4650,3485
3118,3592,2080
1159,904,-1295
-3453,-3898,-5645
-6942,-6032,-5975
-6261,-4754,-4583
-5144,-4404,-4547
-5423,-4636,-4892
-5616,-4989,-5248
-6088,-5271,-5365
-5977,-5083,-5113
-5819,-5007,-5109
-5834,-5026,-5109
-5818,-4999,-5063
-5792,-5013,-5123
-5872,-5096,-5184
-5907,-5100,-5170
-5891,-5087,-5157
-5883,-5083,-5153
-5881,-5080,-5147
-5880,-5092,-5165
-5912,-5136,-5214
-5957,-5172,-5226
-5939,-5128,-5172
-5897,-5087,-5141
-5874,-5071,-5151
-6093,-5862,-6479
-7901,-8306,-9373
-10371,-9858,-10099
-9882,-7861,-7144
-6961,-5069,-5083
-6080,-5396,-6374
-7923,-7061,-7352
-8015,-6228,-4674
-3858,-1357,855
2928,4058,4592
5465,5119,3582
4064,4267,3010
3896,4933,4127
4693,5669,5020
5242,6066,4991
4431,3775,2383
1420,1659,1971
3858,5043,6082
7572,7660,6577
7099,6798,5283
5464,5619,4730
5182,6054,5741
6427,6908,5994
5981,6136,4361
3375,3178,2144
1895,3098,4148
5436,6048,6329
7070,6842,6322
7277,7211,6287
6863,6717,5597
6089,6243,5394
5934,6385,5671
6185,6597,5851
6080,6183,5229
5304,5527,5016
5684,6121,6070
6717,6863,6470
7236,6873,6409
7063,6988,6395
7415,7320,6659
7268,7060,6087
6814,7112,5969
6419,6700,5265
4888,5390,4691
4711,5563,5614
6253,6727,6475
6921,7151,6326
6771,7059,6349
6760,7184,6449
6847,6947,6043
5849,5943,5480
6360,6964,7373
8161,7867,6689
6932,6461,5756
6638,7048,6540
7066,7293,7194
8400,9180,9558
10471,10171,8934
8806,8140,6770
6992,7050,6273
6564,7022,6466
7071,7520,7054
7541,7988,7058
7252,7349,6276
6267,6770,6035
6386,6925,6206
6330,6823,6016
6215,6803,6138
6218,6694,6201
6491,6976,6460
6912,7117,6305
6496,6771,5890
5860,5995,5346
5613,6100,6421
7498,8184,8163
8861,8758,7849
8003,7818,6720
6862,7039,6304
6648,7123,6578
7111,7157,6564
6968,7421,6158
7028,7258,6022
6206,7260,6173
6463,7286,5869
5125,5074,3776
3445,4624,4415
5184,6464,6237
6087,6895,6174
5862,6641,6141
5860,6396,6126
5850,6714,6764
7304,8115,8243
8713,9332,8924
9250,9502,8680
8656,8637,7460
7322,7392,6091
5800,5982,4799
4084,4400,4434
4972,6266,7677
9235,9605,9394
9769,9127,7763
7941,7972,6992
7317,7735,7060
7331,7800,7171
7342,7780,7139
7299,7760,7248
7497,7995,7421
7634,8004,6901
6573,6526,5217
4763,5388,4827
5120,6122,6470
7005,8153,8544
9252,9460,9665
10286,10361,10005
10756,10195,9051
9079,8698,7421
7677,7720,6794
6911,7114,6363
6646,7149,6679
7121,7584,6912
7153,7496,6677
6833,7284,6564
6790,7323,6691
6806,7176,6194
6122,6389,5519
5561,6160,5503
5551,6025,5635
5993,6723,7029
8173,8802,8655
9275,8985,7617
7656,7417,6168
6486,6851,6046
6422,7012,6398
6792,7498,7039
7377,7913,7384
7557,7906,7155
7320,7636,6719
6723,7039,5884
5721,6168,5432
5327,6137,5933
6382,6931,7229
7818,8025,7503
8140,7908,7004
7550,7658,6663
6999,7303,6335
6666,7071,6366
6610,7059,6359
6620,7218,6693
7112,7700,7113
7217,7561,6658
6684,7018,6290
6447,6960,5979
5968,6180,4985
4763,5408,4239
4097,4422,3622
3214,3961,3685
4515,5252,5704
6750,7573,7431
8441,8652,7757
8030,7962,6723
6807,6943,5947
6130,6615,5962
6379,7041,6542
6882,7401,6677
